reclamo_id|pedido_id|cliente_id|fecha_reclamo|tipo|estado|prioridad|comentario
49|96|7|2025-12-22|cambio_producto|abierto|media|Quiero cambiar por otro modelo/color
50|221|51|2025-09-10|cambio_producto|en_proceso|media|Quiero cambiar por otro modelo/color
51|336|88|2025-09-08|cambio_producto|en_proceso|baja|Quiero cambiar por otro modelo/color
52|176|45|2025-10-25|faltante|resuelto|alta|Falta un item del pedido
53|288|66|2025-07-31|garantia|resuelto|media|El producto dejó de funcionar
54|416|38|2025-11-08|garantia|abierto|baja|El producto dejó de funcionar
55|25|92|2026-01-13|garantia|en_proceso|alta|El producto dejó de funcionar
56|203|48|2025-10-11|garantia|abierto|baja|El producto dejó de funcionar
57|482|99|2025-08-24|error_facturacion|resuelto|alta|La factura tiene datos incorrectos
58|354|48|2025-11-15|cambio_producto|cerrado|alta|Quiero cambiar por otro modelo/color
59|290|66|2025-09-21|producto_dañado|cerrado|baja|El producto llegó con golpes en la caja
60|167|63|2025-10-15|demora_envio|en_proceso|media|El pedido no llegó en la fecha estimada
61|80|53|2025-08-28|error_facturacion|en_proceso|media|La factura tiene datos incorrectos
62|159|6|2025-08-13|error_facturacion|cerrado|alta|La factura tiene datos incorrectos
63|304|26|2025-09-22|cambio_producto|en_proceso|media|Quiero cambiar por otro modelo/color
64|94|25|2026-01-15|cambio_producto|resuelto|baja|Quiero cambiar por otro modelo/color
65|225|98|2025-08-31|producto_dañado|resuelto|media|El producto llegó con golpes en la caja
66|455|34|2025-12-08|demora_envio|cerrado|baja|El pedido no llegó en la fecha estimada
67|366|45|2025-10-18|error_facturacion|en_proceso|media|La factura tiene datos incorrectos
68|438|34|2025-10-14|cambio_producto|resuelto|media|Quiero cambiar por otro modelo/color
69|147|30|2025-12-17|error_facturacion|cerrado|alta|La factura tiene datos incorrectos
70|279|13|2025-07-11|demora_envio|en_proceso|media|El pedido no llegó en la fecha estimada
71|266|87|2025-09-01|cambio_producto|abierto|baja|Quiero cambiar por otro modelo/color
72|315|94|2025-08-03|garantia|resuelto|media|El producto dejó de funcionar
73|493|63|2025-08-20|cambio_producto|en_proceso|alta|Quiero cambiar por otro modelo/color
74|346|5|2025-10-08|cambio_producto|cerrado|baja|Quiero cambiar por otro modelo/color
75|226|30|2025-12-13|demora_envio|resuelto|alta|El pedido no llegó en la fecha estimada
76|249|68|2025-07-20|cambio_producto|abierto|baja|Quiero cambiar por otro modelo/color
77|157|77|2025-11-10|faltante|abierto|media|Falta un item del pedido
78|33|18|2025-08-06|demora_envio|cerrado|baja|El pedido no llegó en la fecha estimada
79|483|77|2025-11-21|cambio_producto|en_proceso|media|Quiero cambiar por otro modelo/color
80|435|27|2025-10-02|garantia|cerrado|media|El producto dejó de funcionar
